name,title,lobbyist_type,client,lobbyist_status,start_date,end_date,lobbyist_street_address_1,lobbyist_street_address_2,lobbyist_city,lobbyist_region,lobbyist_country,lobbyist_postal_code,client_street_address_1,client_street_address_2,client_city,client_region,client_country,client_postal_code,subject_matter_category,subject_matter_status,activity_description,public_office_holders
Tony Valeri,"Vice President, Corporate Affairs",In-house,ArcelorMittal Dofasco,Active,2021-01-01,2021-12-31,1330 Burlington Street East,,Hamilton,ON,Canada,L8N 3J5,1330 Burlington Street East,,Hamilton,ON,Canada,L8N 3J5,Economic Development,Active,"- Sustaining and growing economic opportunities - Sustaining steel supply chain and automotive supply chains - Energy supply chain and general industry - Water and Waterfront revitalization - Environmental sustainability - Financial issues, economy","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Farr, Laura', 'title': 'Administrative Assistant'}, {'name': 'Omazic, Drina', 'title': 'Chief of Staff'}, {'name': 'Brown, Dale', 'title': 'Constituency Assistant'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Bates, Nancy', 'title': 'Administrative Assistant'}, {'name': 'Bates, Samantha', 'title': 'Administrative Assistant'}, {'name': 'Coffey, Jackie', 'title': 'Administrative Assistant'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Court-Znottka, Hayley', 'title': 'Office Assistant'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Bishop, Kathy', 'title': 'Executive Assistant'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Cecchetti, Lynne', 'title': 'Administrative Assistant'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}, {'name': 'Johnson, Paul', 'title': 'General Manager, Healthy and Safe Communities'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Murray, Chris', 'title': 'City Manager'}]"
Kevin McEachern,Business Development Associate,In-house,Iron Mountain Canada Operations ULC,Active,2021-03-11,2022-02-28,195 Summerlea Road,,Brampton,ON,Canada,L6T 4P6,195 Summerlea Road,,Brampton,ON,Canada,L6T 4P6,Procurement,Active,"Iron Mountain provides services that may be of interest to the City of Hamilton. Iron Mountain employees will communicate with regional municipality public office holders in an attempt to influence decisions on contracts for services of the type offered by Iron Mountain, such as for information management and secure storage services, among others.","[{'name': 'Zegarac, Mike', 'title': 'General Manager, Finance and Corporate Services'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-02-25,2022-02-25,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road,,Hamilton,ON,Canada,L8W 3N7,Planning and Development - Zoning By-law,Active,The WE HBA will be active on various consultations impacting different aspects of Zoning By-law No. 05-200. The WE HBA supports a flexible approach that encourages intensification and a range of housing options and opportunities for different housing types and tenures,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Jennifer Freiman,"General Manager, Canada & Pacific Northwest",In-house,"Lime Technology, Inc, DBA Lime",Active,2021-02-08,2022-02-08,1400-250 Howe St.,,Vancouver,BC,Canada,V6C 3S7,1400 - 250 Howe St.,,Vancouver,BC,Canada,V6C 3P5,Transportation,Active,Lobbying will involve the creation of a micromobility program for the City ofHamilton.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Brian Teefy,Director,Consultant,StrategyCorp,Active,2021-02-03,2022-02-03,145 King Street East,,Toronto,ON,Canada,M5C 2Y7,145 King Street East,,Toronto,ON,Canada,M5C 2Y7,Economic Development,Active,To arrange a general briefing regarding hydrogen opportunities in Hamilton for the Canadian Hydrogen and Fuel Cell Association.,"[{'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Renee  Gomes,"Chief Development Officer and Vice President, Development",In-house,First Gulf Corporation,Active,2021-01-01,2022-01-01,351 King St E,,Toronto,ON,Canada,M5A 0L6,351 King St E- 13th Floor,,Toronto,ON,Canada,M5A 0L6,Real Estate/Property,Active,"Information Meetings regarding - Real Estate, Property, Planning and Development- address is 370, 378, 412, 436 Garner Road E","[{'name': 'Ferguson, Lloyd', 'title': 'Councillor'}]"
Pradeepan Amalakuhan,,Consultant,Self employed,Active,2021-02-01,2022-02-01,36 The Shire Lane,,Markham,ON,Canada,L6B 0N2,36 The Shire Lane,,Markham,ON,Canada,L6B 0N2,Planning and Development - Site Plan,Active,Want to introduce myself and get to know the vision for Binbrook.,"[{'name': 'Johnson, Brenda', 'title': 'Councillor'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Economic Development,Active,The WE HBA intends to be involved in consultations and potentially respond to public policy reviews or amendments or new proposals related to Community Improvement Plans (CIPs) .,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Economic Development,Active,The WE HBA is strongly supportive of Transit Oriented Communities to support intensification and the objectives of the provincial growth plan. The WE HBA intends to advocacy for planning and transportation policies that support new housing supply through transit oriented communities. Such advocacy will include pre-zoning in the downtown and along transit corridors as well as a more permissive planning framework to allow for more housing options within established neighbourhoods with transit supportive densities.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Smith, Janette', 'title': 'City Manager'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Real Estate/Property,Active,The WE HBA intends to be involved in consultations and provide industry advice and recommendations regarding City of Hamilton potential updates to the Demolition Control Bylaw,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Planning and Development - Official Plan,Active,"The WE HBA intends to be involved, consult and comments on ongoing updates to the City of Hamilton Official Plan to bring it into conformity with the Provincial Policy Statement and the Growth Plan for the Greater Golden Horseshoe. This included work being undertaken as part of Municipal Comprehensive Review to through the GRIDS process and land needs assessment to adopt the Growth Plan Schedule #3 population and employment forecasts to 2051.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Garbage/Recycling,Active,The WE HBA intends to comment on and consult with the City of Hamilton regarding the impacts of proposed revisions to Waste Management Design Requirements on medium and high density newly build/planned communities.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Transit,Active,The WE HBA is strongly supportive of Hamilton transit infrastructure investments. The WE HBA intends to actively support at the local level and also through advocacy to the provincial and federal governments investment to construct the Hamilton LRT.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}, {'name': 'Smith, Janette', 'title': 'City Manager'}, {'name': 'McKinnon, Dan', 'title': 'General Manager, Public Works'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Affordable Housing,Active,The WE HBA is strongly supportive of policies that encourage and allow for secondary/additional dwelling units as a means of providing for more affordable market housing and to provide for gentle density within established neighbourhoods.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,By-law/Regulation,Active,The WE HBA intends to provide implementation recommendations related to the Mayor's Task Force on Economic Recovery recommendations related to the Building Permit Reserve Fund.,"[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Economic Development,Active,"The WE HBA supports the City of Hamilton accepting Modern Surety Bonds as an acceptable alternative financial tool to secure the obligations in
municipal agreements. This change would continue to provide the municipality with the financial security they require to guarantee the installation, performance, and warranty period of municipal services.
The WE HBA supports the Mayors Task Force on Economic Recovery recommendation to adopt Modern Surety Bonds","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Michael Collins-Williams,Chief Executive Officer,In-house,West End Home Builders' Association,Active,2021-01-18,2022-01-18,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,1112 Rymal Road East,,Hamilton,ON,Canada,L8W 3N7,Parking,Active,"The WE HBA supports broad reductions and/or the elimination of minimum parking requirements
The WE HBA supports the Mayor's task force on economic recovery recommendation regarding cash in lieu of parking policy","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Thorne, Jason', 'title': 'General Manager, Planning and Economic Development'}]"
Al Frisina,President,In-house,1507565 Ontario Inc. (Frisina Group),Active,2021-01-07,2022-01-07,1 West Avenue South,Suite 301,Hamilton,ON,Canada,L8N2B2,1 West Avenue South,Suite 301,Hamilton,ON,Canada,L8N2B2,Planning and Development - Planning Policy,Active,"Urban Boundary Expansion, Official Plan","[{'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}]"
Ken Hall,,In-house,Enbridge Pipelines Inc.,,2020-12-21,2021-12-21,,1st Floor,,,,,"1086 Modeland Road, Bldg 1050",,Sarnia,ON,Canada,N7S 6L2,Infrastructure,Active,"Engage with City of Hamilton Mayor, Councillors and senior City staff on Projects and ongoing maintenance activities pertaining to Enbridge Pipelines operating assets in the GHA.","[{'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Cutler, Christopher', 'title': 'Community Relations and Advisor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'Kinnaird, Amanda', 'title': 'Communications and Media Relations'}]"
Peter Milczyn,Principal,Consultant,PM Strategies Inc,Active,2020-12-17,2021-12-17,"296 Mill Road, PH-5",,Toronto,ON,Canada,M9C 4X8,450 Mission Street,,San Francisco,CA,United States,M9C 4X8,Transportation,Active,"Policy and process for permission to use e-scooters on City streets.  Advocacy for SPIN/Ford Mobility to receive permission, permit, or licence to operate shared e-scooter service in Hamilton.  Contact with City Staff and Elected Officials in furtherance of these goals.
Client Info:
Skinny Labs Inc. o/a SPIN
A Division of the Ford Motor Company
450 Mission Street
San Francisco, CA   94105   USA
Brian No, Global Head of Public Policy","[{'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}]"
Arda Erturk,,In-house,Roll Technologies Inc.,,2020-12-17,2021-12-17,,,,,,,"100 College St, Suite #250",,Toronto,ON,Canada,M5A0N5,Transportation,Active,"Electric scooter and electric bike regulations, decisions regarding e-scooter and e-bike usage on bike lanes and sidewalks,","[{'name': 'Wilson, Maureen', 'title': 'Councillor'}, {'name': 'Farr, Jason', 'title': 'Councillor'}, {'name': 'Collins, Chad', 'title': 'Councillor'}, {'name': 'Nann, Nrinder', 'title': 'Councillor'}, {'name': 'Merulla, Sam', 'title': 'Councillor'}, {'name': 'Jackson, Tom', 'title': 'Councillor'}, {'name': 'Pauls, Esther', 'title': 'Councillor'}, {'name': 'Danko, John-Paul', 'title': 'Councillor'}, {'name': 'Clark, Brad', 'title': 'Councillor'}, {'name': 'Pearson, Maria', 'title': 'Councillor'}, {'name': 'Johnson, Brenda', 'title': 'Councillor'}, {'name': 'Ferguson, Lloyd', 'title': 'Councillor'}, {'name': 'VanderBeek, Arlene', 'title': 'Councillor'}, {'name': 'Whitehead, Terry', 'title': 'Councillor'}, {'name': 'Partridge, Judi', 'title': 'Councillor'}, {'name': 'Scally, Maureen', 'title': 'Administrative Assistant'}, {'name': 'Granat, Simon', 'title': 'Administrative Assistant'}, {'name': 'Piedimonte, Diane', 'title': 'Administrative Assistant'}, {'name': 'Finelli, Lucy', 'title': 'Administrative Assistant'}, {'name': 'Bates, Nancy', 'title': 'Administrative Assistant'}, {'name': 'Bates, Samantha', 'title': 'Administrative Assistant'}, {'name': 'Coffey, Jackie', 'title': 'Administrative Assistant'}, {'name': 'Drysdale, Arlene', 'title': 'Administrative Assistant'}, {'name': 'Prince, Kristin', 'title': 'Administrative Assistant'}, {'name': 'Wicken, Colleen', 'title': 'Executive Assistant'}, {'name': 'Ribaric, Robert', 'title': 'Administrative Assistant'}, {'name': 'DiGiantomasso, Christine', 'title': 'Assistant'}, {'name': 'Ceric, Maryana', 'title': 'Administrative Assistant'}, {'name': 'Court-Znottka, Hayley', 'title': 'Office Assistant'}, {'name': 'Dinney, Kathy', 'title': 'Executive Assistant'}, {'name': 'Bishop, Kathy', 'title': 'Executive Assistant'}, {'name': 'Litzen, Julie', 'title': 'Administrative Assistant'}, {'name': 'Cecchetti, Lynne', 'title': 'Administrative Assistant'}, {'name': 'Edwards, Katelyn', 'title': 'Constituency Assistant'}, {'name': 'Morrison, Alison', 'title': 'Assistant'}, {'name': 'Morrison, Allison', 'title': 'Administrative Assistant'}, {'name': 'Eisenberger, Fred', 'title': 'Mayor'}, {'name': 'Bishop, Kathy', 'title': 'Executive Assistant'}, {'name': 'Brown, Dale', 'title': 'Constituency Assistant'}, {'name': 'Leverton, Ryan', 'title': 'Administrative Assistant'}, {'name': 'Scally, Maureen', 'title': 'Administrative Assistant'}, {'name': 'Granat, Simon', 'title': 'Administrative Assistant'}, {'name': 'Doll, Rebecca', 'title': 'Constituency Assistant'}]"
